countyFIPS,date,19A,19B,20A,20A.EU2,20B,20C,20D,20E (EU1),20G,20H/501Y.V2,20I/501Y.V1,20J/501Y.V3,21A,21C,21D,21F,21H
17157,2021-05-12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17157,2021-05-13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
17157,2021-05-24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17157,2021-05-25,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17157,2021-05-31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17159,2020-07-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17159,2020-08-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17159,2020-08-19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17161,2020-05-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-05-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-06-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-06-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-06-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-06-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-06-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-07-31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-03,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17161,2020-08-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17161,2020-09-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-09-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17161,2020-09-24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,2020-09-26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17161,2020-09-30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17161,2021-01-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17161,2021-03-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2020-03-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-03-30,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-04-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-04-10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-04-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-04-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-04-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-11,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-05-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-06-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-07-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-07-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-07-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-08-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-08-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-08-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17163,2020-08-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17163,2020-08-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-08-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17163,2020-08-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17163,2020-08-24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17163,2020-08-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-09-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2020-09-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,2021-01-30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-02-26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17163,2021-03-02,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17163,2021-03-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-03-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-03-09,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17163,2021-03-12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0
17163,2021-03-15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-03-16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-03-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17163,2021-03-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-03-29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17163,2021-04-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17165,2020-05-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17165,2020-07-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-07-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-08-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17165,2020-08-14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17165,2020-08-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17165,2021-02-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17165,2021-03-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17165,2021-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17165,2021-03-08,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17165,2021-03-28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17165,2021-04-18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17165,2021-04-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17165,2021-05-08,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17167,2020-04-23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-04-26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-04-27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17167,2020-04-28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-04-29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-05-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-05-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-05-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-05-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-05-28,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-06-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-18,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17167,2020-07-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-07-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-07-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-08-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-08-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-03,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-04,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-09-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-09-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2020-09-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-09-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,2020-10-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2021-01-14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17167,2021-03-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17167,2021-03-08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17167,2021-03-11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17169,2020-04-29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17169,2020-05-26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17169,2020-05-29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17169,2020-07-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17169,2020-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17169,2020-08-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17169,2020-08-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-07-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17171,2020-07-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-07-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-07-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-08-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-08-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,2020-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-05-12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17173,2020-07-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17173,2020-07-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17173,2020-07-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17173,2020-08-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-08-07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-08-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-08-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-08-31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17173,2020-09-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17173,2020-09-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17173,2020-09-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17173,2020-09-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17177,2020-04-28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-05-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-05-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-06-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-06-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-06-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-06-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-07-22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17177,2020-07-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17177,2020-08-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-08-22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-09-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17177,2020-09-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17177,2020-10-07,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
17177,2020-11-18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17177,2020-12-09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2020-05-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-05-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-06-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-07-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2020-08-14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17179,2020-08-31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17179,2020-09-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2020-09-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2020-09-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17179,2020-09-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2020-09-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17179,2020-09-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2021-01-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17179,2021-02-02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17179,2021-02-09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17179,2021-02-19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17179,2021-03-03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17179,2021-03-13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17181,2020-04-30,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-05,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-05-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-06-03,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17181,2020-06-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17181,2020-07-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17181,2020-07-11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-07-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-07-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-07-20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2020-07-23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
17181,2020-07-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2020-08-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2021-02-28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2021-03-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2021-03-03,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2021-03-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17181,2021-03-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17181,2021-03-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17181,2021-03-22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17181,2021-03-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17181,2021-03-26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17181,2021-03-30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17181,2021-04-19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17181,2021-04-27,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17181,2021-05-06,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17181,2021-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17181,2021-05-10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17181,2021-05-11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17181,2021-05-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17183,2020-06-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17183,2020-06-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17183,2020-07-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17183,2020-08-09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17183,2020-08-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17183,2020-08-19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17183,2021-01-29,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17183,2021-02-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17183,2021-02-17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17183,2021-02-20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17183,2021-02-23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17183,2021-02-24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
